char,name
ᘏ,Syllabe canadienne yo porteur
ᘐ,Syllabe canadienne ye porteur
ᘑ,Syllabe canadienne yé porteur
ᘒ,Syllabe canadienne yi porteur
ᘓ,Syllabe canadienne ya porteur
ᘔ,Syllabe canadienne djou porteur
ᘕ,Syllabe canadienne djou sayissi
ᘖ,Syllabe canadienne djo porteur
ᘗ,Syllabe canadienne dje porteur
ᘘ,Syllabe canadienne djé porteur
ᘙ,Syllabe canadienne dji porteur
ᘚ,Syllabe canadienne dji sayissi
ᘛ,Syllabe canadienne dja porteur
ᘜ,Syllabe canadienne djjou porteur
ᘝ,Syllabe canadienne djjo porteur
ᘞ,Syllabe canadienne djje porteur
ᘟ,Syllabe canadienne djjé porteur
ᘠ,Syllabe canadienne djji porteur
ᘡ,Syllabe canadienne djja porteur
ᘢ,Syllabe canadienne lou porteur
ᘣ,Syllabe canadienne lo porteur
ᘤ,Syllabe canadienne le porteur
ᘥ,Syllabe canadienne lé porteur
ᘦ,Syllabe canadienne li porteur
ᘧ,Syllabe canadienne la porteur
ᘨ,Syllabe canadienne dlou porteur
ᘩ,Syllabe canadienne dlo porteur
ᘪ,Syllabe canadienne dle porteur
ᘫ,Syllabe canadienne dlé porteur
ᘬ,Syllabe canadienne dli porteur
ᘭ,Syllabe canadienne dla porteur
ᘮ,Syllabe canadienne lhou porteur
ᘯ,Syllabe canadienne lho porteur
ᘰ,Syllabe canadienne lhe porteur
ᘱ,Syllabe canadienne lhé porteur
ᘲ,Syllabe canadienne lhi porteur
ᘳ,Syllabe canadienne lha porteur
ᘴ,Syllabe canadienne tlhou porteur
ᘵ,Syllabe canadienne tlho porteur
ᘶ,Syllabe canadienne tlhe porteur
ᘷ,Syllabe canadienne tlhé porteur
ᘸ,Syllabe canadienne tlhi porteur
ᘹ,Syllabe canadienne tlha porteur
ᘺ,Syllabe canadienne tlou porteur
ᘻ,Syllabe canadienne tlo porteur
ᘼ,Syllabe canadienne tle porteur
ᘽ,Syllabe canadienne tlé porteur
ᘾ,Syllabe canadienne tli porteur
ᘿ,Syllabe canadienne tla porteur
ᙀ,Syllabe canadienne zou porteur
ᙁ,Syllabe canadienne zo porteur
ᙂ,Syllabe canadienne ze porteur
ᙃ,Syllabe canadienne zé porteur
ᙄ,Syllabe canadienne zi porteur
ᙅ,Syllabe canadienne za porteur
ᙆ,Syllabe canadienne z porteur
ᙇ,Syllabe canadienne z porteur initial
ᙈ,Syllabe canadienne dzou porteur
ᙉ,Syllabe canadienne dzo porteur
ᙊ,Syllabe canadienne dze porteur
ᙋ,Syllabe canadienne dzé porteur
ᙌ,Syllabe canadienne dzi porteur
ᙍ,Syllabe canadienne dza porteur
ᙎ,Syllabe canadienne sou porteur
ᙏ,Syllabe canadienne so porteur
ᙐ,Syllabe canadienne se porteur
ᙑ,Syllabe canadienne sé porteur
ᙒ,Syllabe canadienne si porteur
ᙓ,Syllabe canadienne sa porteur
ᙔ,Syllabe canadienne chou porteur
ᙕ,Syllabe canadienne cho porteur
ᙖ,Syllabe canadienne che porteur
ᙗ,Syllabe canadienne ché porteur
ᙘ,Syllabe canadienne chi porteur
ᙙ,Syllabe canadienne cha porteur
ᙚ,Syllabe canadienne ch porteur
ᙛ,Syllabe canadienne tsou porteur
ᙜ,Syllabe canadienne tso porteur
ᙝ,Syllabe canadienne tse porteur
ᙞ,Syllabe canadienne tsé porteur
ᙟ,Syllabe canadienne tsi porteur
ᙠ,Syllabe canadienne tsa porteur
ᙡ,Syllabe canadienne tchou porteur
ᙢ,Syllabe canadienne tcho porteur
ᙣ,Syllabe canadienne tche porteur
ᙤ,Syllabe canadienne tché porteur
ᙥ,Syllabe canadienne tchi porteur
ᙦ,Syllabe canadienne tcha porteur
ᙧ,Syllabe canadienne ttsou porteur
ᙨ,Syllabe canadienne ttso porteur
ᙩ,Syllabe canadienne ttse porteur
ᙪ,Syllabe canadienne ttsé porteur
ᙫ,Syllabe canadienne ttsi porteur
ᙬ,Syllabe canadienne ttsa porteur
᙭,Signe syllabe canadienne khi
᙮,Point syllabe canadienne
ᙯ,Syllabe canadienne qaï
ᙰ,Syllabe canadienne ngaï
ᙱ,Syllabe canadienne nngi
ᙲ,Syllabe canadienne nngî
ᙳ,Syllabe canadienne nngo
ᙴ,Syllabe canadienne nngô
ᙵ,Syllabe canadienne nnga
ᙶ,Syllabe canadienne nngâ
ᙷ,Syllabe canadienne cri des bois thwee
ᙸ,Syllabe canadienne cri des bois thwi
ᙹ,Syllabe canadienne cri des bois thwii
ᙺ,Syllabe canadienne cri des bois thwo
ᙻ,Syllabe canadienne cri des bois thwoo
ᙼ,Syllabe canadienne cri des bois thwa
ᙽ,Syllabe canadienne cri des bois thwaa
ᙾ,Syllabe canadienne cri des bois t final
ᙿ,Syllabe canadienne pied-noir w
ᢰ,Syllabe canadienne oy
ᢱ,Syllabe canadienne ay
ᢲ,Syllabe canadienne aay
ᢳ,Syllabe canadienne way
ᢴ,Syllabe canadienne poy
ᢵ,Syllabe canadienne pay
ᢶ,Syllabe canadienne pwoy
ᢷ,Syllabe canadienne tay
ᢸ,Syllabe canadienne kay
ᢹ,Syllabe canadienne kway
ᢺ,Syllabe canadienne may
ᢻ,Syllabe canadienne noy
ᢼ,Syllabe canadienne nay
ᢽ,Syllabe canadienne lay
ᢾ,Syllabe canadienne soy
ᢿ,Syllabe canadienne say
ᣀ,Syllabe canadienne shoy
ᣁ,Syllabe canadienne shay
ᣂ,Syllabe canadienne shwoy
ᣃ,Syllabe canadienne yoy
ᣄ,Syllabe canadienne yay
ᣅ,Syllabe canadienne ray
ᣆ,Syllabe canadienne nwi
ᣇ,Syllabe canadienne ojibwé nwi
ᣈ,Syllabe canadienne nwii
ᣉ,Syllabe canadienne ojibwé nwii
ᣊ,Syllabe canadienne nwo
ᣋ,Syllabe canadienne ojibwé nwo
ᣌ,Syllabe canadienne nwoo
ᣍ,Syllabe canadienne ojibwé nwoo
ᣎ,Syllabe canadienne rwee
ᣏ,Syllabe canadienne rwi
ᣐ,Syllabe canadienne rwii
ᣑ,Syllabe canadienne rwo
ᣒ,Syllabe canadienne rwoo
